                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3866,                 1.4347,                 1.7225,                 0.7155,                0.65847,                0.71558,                0.45288,                 1.2678,                 1.1077,                 1.6602,               0.006733,               0.006733,               0.006733
                     36,                 1.3903,                 1.4271,                 1.7213,                0.71901,                0.66255,                0.71965,                0.45592,                 1.2717,                 1.0933,                 1.6724,               0.006634,               0.006634,               0.006634
                     37,                 1.3714,                 1.4092,                 1.7104,                0.72868,                0.64262,                0.71711,                0.45561,                 1.2558,                 1.0977,                 1.6542,               0.006535,               0.006535,               0.006535
                     38,                 1.3751,                 1.4077,                 1.7069,                0.72607,                0.65549,                0.72066,                0.45931,                 1.2634,                 1.0864,                 1.6542,               0.006436,               0.006436,               0.006436
                     39,                 1.3738,                 1.4107,                 1.7042,                 0.7254,                0.65718,                0.72507,                0.46411,                 1.2499,                 1.0797,                 1.6426,               0.006337,               0.006337,               0.006337
                     40,                 1.3674,                 1.3898,                 1.6989,                0.73035,                0.65452,                  0.725,                0.46452,                 1.2467,                 1.0709,                 1.6439,               0.006238,               0.006238,               0.006238
                     41,                  1.362,                 1.3821,                 1.6903,                0.72799,                  0.663,                0.72863,                 0.4671,                 1.2415,                 1.0679,                 1.6351,               0.006139,               0.006139,               0.006139
                     42,                   1.36,                 1.3742,                 1.6899,                0.74101,                0.66359,                0.73026,                0.46828,                 1.2526,                 1.0664,                 1.6423,                0.00604,                0.00604,                0.00604
                     43,                 1.3533,                 1.3651,                  1.682,                0.74553,                0.65253,                0.73046,                0.47025,                 1.2453,                 1.0544,                 1.6389,               0.005941,               0.005941,               0.005941
                     44,                 1.3585,                 1.3714,                 1.6835,                0.74361,                 0.6571,                0.73414,                0.47248,                 1.2391,                 1.0535,                 1.6317,               0.005842,               0.005842,               0.005842
                     45,                 1.3508,                 1.3627,                 1.6801,                0.73861,                0.66161,                0.73329,                0.47166,                 1.2422,                 1.0528,                 1.6293,               0.005743,               0.005743,               0.005743
                     46,                 1.3451,                 1.3502,                 1.6718,                 0.7253,                0.67524,                  0.734,                 0.4744,                 1.2374,                 1.0453,                 1.6228,               0.005644,               0.005644,               0.005644
                     47,                  1.338,                 1.3388,                 1.6666,                0.74906,                0.66873,                0.73731,                0.47519,                 1.2355,                  1.046,                 1.6255,               0.005545,               0.005545,               0.005545
                     48,                 1.3349,                 1.3309,                 1.6639,                0.72487,                0.68178,                0.73429,                0.47453,                 1.2344,                 1.0418,                 1.6231,               0.005446,               0.005446,               0.005446
                     49,                 1.3449,                 1.3437,                 1.6674,                 0.7314,                0.67835,                0.73907,                0.47878,                   1.23,                 1.0322,                 1.6179,               0.005347,               0.005347,               0.005347
                     50,                  1.333,                 1.3207,                 1.6609,                0.73319,                0.67145,                0.74008,                0.47934,                 1.2257,                 1.0339,                 1.6152,               0.005248,               0.005248,               0.005248
