                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.415,                 1.4815,                 1.6977,                0.70965,                 0.6334,                0.69991,                0.43467,                 1.2706,                 1.1524,                 1.5862,               0.006733,               0.006733,               0.006733
                     36,                 1.4197,                 1.4806,                  1.697,                 0.7285,                0.62851,                0.70675,                0.43922,                 1.2731,                 1.1364,                 1.5915,               0.006634,               0.006634,               0.006634
                     37,                 1.4052,                 1.4625,                 1.6848,                0.71842,                0.63713,                0.70442,                0.43676,                 1.2662,                  1.138,                 1.5849,               0.006535,               0.006535,               0.006535
                     38,                 1.4037,                 1.4654,                 1.6839,                0.72365,                 0.6433,                0.70879,                 0.4433,                 1.2572,                 1.1361,                 1.5731,               0.006436,               0.006436,               0.006436
                     39,                 1.4023,                 1.4574,                 1.6822,                0.73306,                0.64294,                0.71076,                0.44522,                 1.2578,                  1.119,                 1.5687,               0.006337,               0.006337,               0.006337
                     40,                 1.3951,                 1.4409,                 1.6719,                0.70782,                0.65386,                0.71204,                0.44629,                 1.2406,                 1.1079,                 1.5589,               0.006238,               0.006238,               0.006238
                     41,                 1.3896,                 1.4315,                 1.6666,                0.72396,                0.65852,                0.71955,                0.45273,                 1.2402,                 1.1002,                 1.5583,               0.006139,               0.006139,               0.006139
                     42,                 1.3886,                 1.4224,                 1.6583,                0.72227,                0.64387,                0.71787,                0.45029,                   1.25,                 1.1064,                 1.5569,                0.00604,                0.00604,                0.00604
                     43,                 1.3845,                 1.4119,                  1.655,                0.72436,                0.64684,                 0.7193,                0.45183,                  1.245,                 1.0945,                   1.56,               0.005941,               0.005941,               0.005941
                     44,                 1.3865,                 1.4204,                 1.6583,                0.71643,                0.66222,                0.72201,                 0.4558,                 1.2432,                 1.0866,                 1.5479,               0.005842,               0.005842,               0.005842
                     45,                 1.3821,                 1.4163,                 1.6575,                0.73056,                0.65262,                0.72362,                0.45739,                 1.2409,                 1.0809,                 1.5466,               0.005743,               0.005743,               0.005743
                     46,                 1.3704,                 1.3952,                 1.6427,                0.72293,                0.66823,                0.72636,                0.46159,                 1.2383,                 1.0712,                 1.5417,               0.005644,               0.005644,               0.005644
                     47,                 1.3672,                 1.3887,                 1.6409,                0.70975,                0.66706,                 0.7237,                0.46067,                 1.2377,                 1.0752,                 1.5428,               0.005545,               0.005545,               0.005545
                     48,                 1.3634,                 1.3766,                 1.6332,                0.73541,                0.65476,                 0.7289,                0.46372,                 1.2274,                 1.0688,                 1.5337,               0.005446,               0.005446,               0.005446
                     49,                 1.3761,                 1.3928,                 1.6448,                0.73569,                0.65806,                0.72976,                0.46558,                  1.222,                 1.0595,                 1.5314,               0.005347,               0.005347,               0.005347
                     50,                  1.362,                 1.3661,                 1.6349,                0.73632,                0.66129,                0.73304,                0.46596,                  1.222,                 1.0573,                 1.5279,               0.005248,               0.005248,               0.005248
                     51,                 1.3601,                  1.372,                 1.6266,                0.73325,                0.66467,                0.72955,                0.46688,                 1.2182,                 1.0543,                 1.5227,               0.005149,               0.005149,               0.005149
                     52,                 1.3586,                  1.366,                  1.628,                 0.7381,                0.65859,                0.73124,                 0.4672,                 1.2185,                 1.0539,                 1.5225,                0.00505,                0.00505,                0.00505
                     53,                 1.3554,                 1.3542,                 1.6273,                0.74781,                0.65407,                0.73325,                0.46917,                 1.2125,                  1.047,                 1.5201,               0.004951,               0.004951,               0.004951
                     54,                 1.3479,                 1.3507,                  1.619,                0.75717,                0.65283,                0.73411,                0.47076,                 1.2129,                 1.0448,                 1.5188,               0.004852,               0.004852,               0.004852
                     55,                  1.351,                 1.3423,                 1.6185,                0.73943,                0.67265,                0.73746,                0.47243,                  1.212,                 1.0403,                 1.5171,               0.004753,               0.004753,               0.004753
                     56,                 1.3396,                 1.3408,                 1.6128,                 0.7505,                0.66227,                 0.7382,                0.47357,                 1.2106,                 1.0375,                 1.5113,               0.004654,               0.004654,               0.004654
                     57,                 1.3394,                 1.3229,                  1.604,                  0.749,                  0.661,                0.73939,                0.47336,                 1.2048,                 1.0348,                  1.507,               0.004555,               0.004555,               0.004555
                     58,                 1.3399,                 1.3185,                 1.5983,                  0.743,                 0.6698,                0.74147,                0.47413,                 1.2107,                 1.0283,                 1.5073,               0.004456,               0.004456,               0.004456
                     59,                 1.3339,                 1.3286,                 1.6017,                0.74988,                0.66391,                0.74022,                0.47646,                  1.203,                 1.0306,                 1.5027,               0.004357,               0.004357,               0.004357
                     60,                  1.332,                 1.3125,                 1.5953,                0.74617,                0.66709,                0.74305,                0.47886,                 1.1974,                  1.023,                 1.4948,               0.004258,               0.004258,               0.004258
                     61,                 1.3276,                 1.3017,                 1.5912,                0.75028,                0.66892,                0.74258,                0.47871,                 1.1979,                 1.0198,                 1.4946,               0.004159,               0.004159,               0.004159
                     62,                 1.3264,                 1.3062,                 1.5907,                0.75261,                0.66376,                0.73969,                0.47698,                  1.201,                 1.0213,                 1.4973,                0.00406,                0.00406,                0.00406
                     63,                 1.3178,                 1.3043,                  1.589,                 0.7523,                0.66412,                0.74077,                0.47814,                 1.2022,                 1.0169,                 1.4966,               0.003961,               0.003961,               0.003961
                     64,                 1.3246,                 1.2977,                 1.5843,                0.75031,                0.66673,                0.74072,                0.47768,                 1.2031,                 1.0182,                 1.4948,               0.003862,               0.003862,               0.003862
                     65,                  1.316,                 1.2885,                 1.5799,                0.76538,                0.66245,                0.74508,                0.48121,                 1.1982,                 1.0092,                 1.4897,               0.003763,               0.003763,               0.003763
                     66,                 1.3219,                 1.2941,                 1.5801,                0.76935,                0.65659,                0.74575,                0.48169,                 1.1998,                 1.0054,                 1.4907,               0.003664,               0.003664,               0.003664
                     67,                 1.3053,                 1.2839,                 1.5731,                0.77468,                0.66008,                 0.7475,                0.48278,                 1.1979,                 1.0031,                 1.4896,               0.003565,               0.003565,               0.003565
                     68,                 1.3095,                 1.2809,                 1.5724,                0.76848,                0.66398,                0.74705,                0.48225,                 1.1948,                 1.0036,                 1.4883,               0.003466,               0.003466,               0.003466
                     69,                 1.2974,                  1.265,                 1.5639,                0.76519,                0.66551,                0.74699,                0.48231,                 1.1961,                 1.0045,                 1.4886,               0.003367,               0.003367,               0.003367
                     70,                 1.3004,                 1.2636,                  1.565,                0.77051,                0.65591,                0.74524,                0.48186,                 1.1972,                  1.005,                 1.4868,               0.003268,               0.003268,               0.003268
